test_id,category,run,text_input,text_output,safety_result,latency_asr_latency,latency_safety_latency,latency_llm_first_sentence,latency_tts_first_chunk,latency_first_playable,latency_total_response,latency_wall_total
zh_simple_1,简单中文,1,什么是龙骨？,"龙骨是船舶的脊梁，位于船体底部中心线，是整艘船最基础、最核心的承重结构。通俗来说，它就像人的脊椎骨，或者大楼的地基，支撑着整艘船的重量，并连接着船体的肋骨、甲板等所有横向和纵向构件。

从技术细节来看",safe,801.05,0.03,28553.03,5018.13,34372.21,34372.21,41778.58
zh_simple_1,简单中文,2,什么是龙骨？,"龙骨是船舶最底层、贯穿船体首尾的纵向主结构，通俗地说，它就像人体的脊椎骨，是整艘船的基干和建造基准。

从技术细节来看，龙骨位于船底中心线，是船体骨架中最关键的纵向受力构件。它的主要作用包括：第一，承",safe,148.76,0.02,15080.42,3895.89,19125.08,19125.08,19125.11
zh_simple_1,简单中文,3,什么是龙骨？,"龙骨是船舶最底层的基础构件，通俗地说，它就像是船舶的“脊梁骨”，位于船底正中，从船头一直延伸到船尾，是整艘船建造和受力的核心基础。

从技术细节来看，龙骨的作用和分类主要包括以下几个方面：

第一，结",safe,157.78,0.02,14318.41,4644.38,19120.58,19120.58,19120.61
zh_simple_2,简单中文,1,船务的作用是什么？,"您提到的船务，在造船与航运语境下通常指船舶运营管理或综合事务处理。从造船工程的角度来看，其核心作用主要体现在以下几个方面：

第一，新船建造的项目协调与技术对接。船务部门作为船东与造船厂之间的核心桥梁",safe,167.33,0.02,36154.49,5208.34,41530.16,41530.16,41530.19
zh_simple_2,简单中文,2,船务的作用是什么？,您提到的“船务”在造船领域的专业语境中，通常是指船舶舾装及系统配置的统称，也就是船舶上除船体结构之外的所有附属设施和系统。通俗来说，如果把船体比作毛坯房，船务相关的内容就是让这栋房子能够住人、能正常运,safe,249.62,0.04,14458.84,4532.89,19241.34,19241.35,19241.38
zh_simple_2,简单中文,3,船务的作用是什么？,"您提到的船务，在造船与航运语境下通常指船舶运营管理或综合事务处理。从造船工程的角度来看，其核心作用主要体现在以下几个方面：

第一，新船建造的项目协调与技术对接。船务部门作为船东与造船厂之间的核心桥梁",safe,188.12,0.02,30097.81,4575.41,34861.35,34861.36,34861.39
zh_simple_3,简单中文,1,甲板有哪些类型？,"船舶甲板是船体顶部的水平结构，通俗来说就像大楼的楼板，用于封盖船体内部空间并提供人员行走和设备布置的平台。根据位置和功能的不同，甲板主要分为以下几种类型：

第一，强力甲板。这是船体结构中最高一层且参",safe,189.82,0.02,20681.92,11730.48,32602.23,32602.23,32602.26
zh_simple_3,简单中文,2,甲板有哪些类型？,"甲板是船舶结构中的水平结构，不仅作为船员的通道和工作平台，更是保证船体总纵强度的重要构件。甲板主要按位置和功能进行分类，常见类型如下：

第一类是按位置划分。上甲板，通常指船体最上层的全通连续甲板，也",safe,167.17,0.02,32988.58,4970.1,38125.85,38125.86,38125.9
zh_simple_3,简单中文,3,甲板有哪些类型？,"船舶甲板是船体顶部的水平结构，通俗来说就像楼房的楼板，用于封盖船内空间并供人员行走或布置设备。按其在船体中的位置和功能，主要分为以下几种类型：

1. 强力甲板。这是船体结构中最高一层连续的甲板，也是",safe,167.52,0.02,19788.09,6196.98,26152.6,26152.6,26152.62
zh_simple_4,简单中文,1,船体外板的主要作用是什么？,"船体外板是指包裹在船体骨架外部，形成船舶水密外壳的钢板。它的主要作用包括以下几个方面：

第一，形成水密外壳以提供浮力。外板是船舶抵御外部水压、防止海水进入船内的第一道屏障，保证了船体的水密性，这是船",safe,181.91,0.02,18872.45,3897.05,22951.42,22951.42,22951.44
zh_simple_4,简单中文,2,船体外板的主要作用是什么？,"船体外板是构成船体封闭外壳的重要结构，其主要作用如下：

第一，保证船体的水密性。外板是船舶浮力的基础，通过形成不透水的封闭壳体，确保船舶能够排开水量产生浮力，从而承载船舶自身重量与货物重量。若外板破",safe,190.96,0.02,27208.81,4205.6,31605.38,31605.38,31605.4
zh_simple_4,简单中文,3,船体外板的主要作用是什么？,"船体外板是指覆盖在船体骨架外部，形成船舶水密外壳的钢板。它的主要作用包括以下几个方面：

第一，形成水密外壳，提供浮力。外板是船舶抵御外部水压、防止海水进入船内的第一道屏障，保证了船体的水密性，这是船",safe,196.88,0.02,23048.19,4435.58,27680.65,27680.65,27680.67
zh_simple_5,简单中文,1,螺旋桨为什么能推动传播前进？,"您好！您问题中的“传播”结合造船领域语境，应为语音识别误差，实际指的是“船舶”。下面为您解答螺旋桨推动船舶前进的原理。

螺旋桨推动船舶前进，核心原理是动量守恒与力的反作用，即牛顿第三定律。

通俗解",safe,215.15,0.02,23415.47,4071.74,27702.37,27702.37,27702.39
zh_simple_5,简单中文,2,螺旋桨为什么能推动传播前进？,"您好！您问题中的“传播”结合造船语境，应为语音识别误差，实际指的是“船舶”。螺旋桨之所以能推动船舶前进，核心原理是利用流体力学中的反作用力，将主机产生的旋转机械能转化为船舶前进的推力。

具体过程和原",safe,213.14,0.02,29436.78,4921.0,34570.92,34570.92,34570.94
zh_simple_5,简单中文,3,螺旋桨为什么能推动传播前进？,"您提到的“传播”应为语音识别误差，在造船领域正确含义为“船舶”。螺旋桨能推动船舶前进，核心原理是动量定理与牛顿第三定律，即作用力与反作用力。

通俗解释：螺旋桨就像水中的螺丝钉，它在旋转时把水向后方推",safe,212.41,0.02,24586.83,5547.51,30346.75,30346.75,30346.78
en_simple_1,简单英文,1,What is a bulkhead?,"舱壁是船舶内部用于分隔空间的垂直或水平结构。通俗地说，它就像是船体内部的隔断墙，把一个大船体划分成多个独立的房间或舱室。

从技术细节来看，舱壁在船舶设计与工程中具有多重关键作用：

第一，保证抗沉性",safe,183.12,0.01,24758.92,3880.42,28822.46,28822.46,28822.48
en_simple_1,简单英文,2,What is a bulkhead?,"舱壁是船舶内部用于分隔空间的垂直或水平分隔结构。通俗地讲，它就像是船体内部的隔断墙，把船内的大空间划分成多个独立的小舱室。

在技术细节上，舱壁在船舶设计与工程中发挥着至关重要的作用。首先是保证抗沉性",safe,178.8,0.01,19353.83,4158.2,23690.84,23690.84,23690.87
en_simple_1,简单英文,3,What is a bulkhead?,"舱壁是指船体内部用于分隔空间的垂直或水平分隔结构，通俗来说，它就像是船舶内部的墙壁或楼层板。

在造船专业领域，舱壁主要具有以下功能和分类：

功能方面：
1. 提高抗沉性：通过将船体内部划分成若干个",safe,191.13,0.02,33113.26,4900.04,38204.43,38204.43,38204.46
en_simple_2,简单英文,1,How does a propeller work on a ship?,"船舶螺旋桨的工作原理是将主机产生的旋转动力转化为推动船舶前进的推力。

通俗来说，螺旋桨就像是在水里旋转的螺丝钉，它通过旋转把水向后方推开，水则给螺旋桨一个向前的反作用力，从而推着船向前走。在造船领域",safe,183.41,0.02,35244.12,5538.32,40965.85,40965.85,40965.88
en_simple_2,简单英文,2,How does a propeller work on a ship?,"船舶螺旋桨的工作原理基于流体力学中的牛顿第三定律，即作用力与反作用力，同时利用机翼升力原理将发动机的旋转能量转化为推力。具体过程如下：

首先，螺旋桨通过主机驱动旋转，其叶片具有特定的曲面形状，类似于",safe,245.82,0.02,26540.79,4774.25,31560.86,31560.86,31560.89
en_simple_2,简单英文,3,How does a propeller work on a ship?,"船舶螺旋桨的工作原理是将主机产生的旋转动力转化为推动船舶前进的推力。

首先通俗地解释一下，螺旋桨就像是一把拧在水里的螺丝刀，它通过在水中的旋转，把水向后方推开，水则给螺旋桨一个向前的反作用力，从而推",safe,205.07,0.05,32401.12,7443.08,40049.27,40049.27,40049.3
en_simple_3,简单英文,1,What is the function of a ship deck?,"船舶甲板是船顶部的水平结构层，通俗来说就像是船舶的楼层，为船舶提供活动平台和遮蔽空间。它的主要功能包括以下几个方面：

第一，封闭船体与保证水密性。甲板与舱壁、舷侧等连接形成封闭的船壳，保护舱内空间不",safe,177.63,0.02,15586.48,4591.95,20356.07,20356.07,20356.09
en_simple_3,简单英文,2,What is the function of a ship deck?,"船舶甲板是船顶部的水平结构，通俗来说就像房屋的楼板，构成了船舶的分层。其主要功能如下：

第一，保证船体结构强度与水密性。甲板与船体外板、舱壁共同构成封闭的壳体，提供纵向抗弯强度，抵抗船舶在波浪中产生",safe,257.3,0.04,8956.97,3604.13,12818.41,12818.42,12818.43
en_simple_3,简单英文,3,What is the function of a ship deck?,"甲板是船舶顶部的水平结构，通俗来说就像房子的楼板，将船体内部空间上下分层。其主要功能如下：

第一，封闭船体顶部，保证水密性。甲板与舷侧外板连接，形成水密的外壳，防止海水涌入，保障船舶浮力和内部舱室的",safe,210.15,0.02,20880.68,5791.68,26882.53,26882.53,26882.55
en_simple_4,简单英文,1,Why is ship stability important?,"船舶稳性是指船舶在受到外力作用（如风、浪、流）偏离平衡位置发生倾斜，当外力消失后能自行恢复到原来平衡位置的能力。这是船舶安全的核心指标，其重要性主要体现在以下三个方面。

第一，保障生命与财产安全。稳",safe,214.84,0.03,28544.21,4693.86,33452.92,33452.92,33452.95
en_simple_4,简单英文,2,Why is ship stability important?,"船舶稳性之所以至关重要，是因为它直接决定了船舶在海上航行、停泊和装卸时的安全与生存能力。

通俗来说，稳性就是船舶受到风浪等外力作用发生倾斜时，能够自己扶正、恢复到原来正浮位置的能力。就像不倒翁一样，",safe,182.71,0.02,16714.58,5200.97,22098.26,22098.26,22098.29
en_simple_4,简单英文,3,Why is ship stability important?,"船舶稳性是指船舶受到外力作用发生倾斜，当外力消失后能够自行恢复到原来平衡位置的能力。通俗来说，就是船在风浪中摇晃后，能不能自己扶正的本领。

船舶稳性极其重要，主要体现在以下三个方面：

第一，保障生",safe,176.93,0.02,95286.21,4197.65,99660.79,99660.79,99660.82
mixed_1,中英混合,1,请解释包ca和仓壁是不是同一个概念。,"包ca和舱壁不是同一个概念。根据造船领域的语音输入习惯，包ca应推断为包板或包角，两者在结构位置和功能上有明显区别。

第一，概念定义不同。包板通常指覆盖在船体结构骨架外面的板材，例如船体外板，它构成",safe,212.0,0.02,25049.17,4142.19,29403.37,29403.38,29403.4
mixed_1,中英混合,2,请解释包head和仓壁是不是同一个概念。,"包head和舱壁不是同一个概念，它们在船舶结构中属于不同的部件。

首先解释舱壁。舱壁是指船体内部用于将主船体分隔成多个舱室的垂直或水平壁板。通俗来说，它就像是房屋里的隔墙。技术细节上，舱壁的主要作用",safe,209.49,0.02,18918.26,4704.45,23832.2,23832.2,23832.22
mixed_1,中英混合,3,请解释包head和仓壁是不是同一个概念。,"包头和舱壁不是同一个概念，二者在船体结构中指代不同的部位。结合造船专业语境，您提到的包头极有可能是艏楼的语音误识别。

首先解释舱壁。舱壁是指船体内部用于分隔空间的垂直或水平隔板，类似于建筑物中的墙体",safe,210.46,0.02,29466.93,3447.41,33124.8,33124.8,33124.82
mixed_2,中英混合,1,propeller和船舵之间有什么关系？,"螺旋桨和船舵之间存在着紧密的协同工作关系，两者共同构成了船舶操纵系统的核心。简单来说，螺旋桨负责提供动力让船动起来，而船舵负责控制方向让船转弯。它们的具体关系体现在以下几个方面：

第一，位置布局的依",safe,202.14,0.02,33925.19,4773.81,38901.15,38901.15,38901.17
mixed_2,中英混合,2,propeller和船舵之间有什么关系？,"propeller也就是螺旋桨，是船舶的动力推进装置；船舵是控制航向的装置。两者在空间位置和流体动力上关系极其紧密。

首先是空间位置关系。螺旋桨通常安装在船艉，而船舵紧挨着螺旋桨的正后方，舵杆和舵叶",safe,203.79,0.02,21455.15,4704.15,26363.09,26363.09,26363.12
mixed_2,中英混合,3,propeller和船舵之间有什么关系？,"propeller即螺旋桨，是船舶的推进装置；船舵是船舶的转向装置。两者在位置布局、水动力作用以及结构设计上关系紧密。

首先是位置布局关系。螺旋桨通常安装在船尾的艉轴上，而船舵紧邻螺旋桨的后方布置。",safe,202.26,0.02,22881.01,4473.84,27557.11,27557.12,27557.14
mixed_3,中英混合,1,船舶shipbuilding中how design主要关注什么？,"船舶设计中的总体设计主要关注船舶的总体性能、结构安全、功能实现以及经济性。具体包括以下几个核心方面：

第一，船舶性能与主尺度确定。这是设计的基础。设计者需确定船舶的长度、宽度、型深和吃水等主要参数。",safe,203.63,0.02,42386.56,6752.98,49343.17,49343.18,49343.2
mixed_3,中英混合,2,船舶shipbuilding中how design主要关注什么？,"在船舶设计与建造领域，根据您的语音输入，how design应推断为总布置设计，这是船舶设计中最核心的环节之一。总布置设计主要关注以下方面：

第一，总体区划。即合理划分船舶的主船体、上层建筑和甲板室",safe,202.73,0.02,40609.52,4731.13,45543.38,45543.38,45543.4
mixed_3,中英混合,3,船舶shipbuilding中how design主要关注什么？,"您提到的how design，结合造船领域的语境，推测应为总布置设计，即Overall Layout Design或General Arrangement Design，这是船舶设计中最核心的环节。
",safe,204.29,0.03,32307.96,5742.67,38254.93,38254.93,38254.96
zh_ship_1,造船术语,1,纵骨和肋骨的区别是什么？,"纵骨和肋骨是船体结构中两种最关键的骨架构件，它们的主要区别在于布置方向、结构功能以及连接方式。

首先是布置方向不同。纵骨是沿着船长方向布置的构件，即从船头通向船尾；而肋骨是沿着船宽方向布置的构件，即",safe,179.29,0.02,21774.32,4287.44,26241.06,26241.06,26241.08
zh_ship_1,造船术语,2,纵骨和肋骨的区别是什么？,"纵骨和肋骨都是船体骨架中的关键构件，它们的主要区别在于布置方向和结构功能。

先说肋骨。肋骨是指沿着船体横向（即垂直于船长方向）布置的骨架构件。通俗来讲，它就像人体的肋条一样，是左右横向环绕的。在技术",safe,179.86,0.02,31514.77,4324.49,36019.13,36019.13,36019.15
zh_ship_1,造船术语,3,纵骨和肋骨的区别是什么？,"纵骨和肋骨都是船体骨架中的关键构件，它们的主要区别在于布置方向和结构功能。

先说肋骨。肋骨是指沿着船体横向（即垂直于船长方向）布置的骨架构件。通俗来讲，它就像人体的肋条一样，是从船底一直延伸到船舷两",safe,178.83,0.02,21044.12,3926.33,25149.29,25149.29,25149.31
zh_ship_2,造船术语,1,请解释手楼和尾轴的功能。,"您好。根据造船领域的专业语境，您提到的“手楼”应为语音识别误差，实际指的是“艏楼”，即船舶首部的上层建筑；“尾轴”则是船舶推进系统中的关键部件。以下为您详细解释两者的功能：

一、艏楼的功能

通俗解",safe,186.68,0.02,17823.47,5350.94,23361.1,23361.11,23361.13
zh_ship_2,造船术语,2,请解释手楼和尾轴的功能。,"您好。根据造船领域的专业语境，您提到的“手楼”应为“艏楼”的同音误识别，“尾轴”则是准确的船舶结构术语。下面为您分别解释它们的功能。

首先是艏楼。艏楼是位于船舶首部、从干舷甲板向上延伸的上层建筑。通",safe,184.51,0.02,17111.72,5860.38,23156.61,23156.61,23156.63
zh_ship_2,造船术语,3,请解释手楼和尾轴的功能。,"您好。根据造船领域的专业语境，您提到的“手楼”应为语音误识别，其正确术语是“艏楼”；“尾轴”则是准确的船舶结构术语。以下为您详细解释两者的功能：

第一，艏楼的功能。艏楼是指船舶首部上甲板以上的上层建",safe,184.91,0.02,32677.17,5197.3,38059.37,38059.38,38059.4
zh_ship_3,造船术语,1,龙骨的结构形式有哪些？,"龙骨是船舶的脊梁，位于船体底部中心线上，是支撑船体结构最重要的构件。其结构形式主要分为以下三类：

第一类是平板龙骨。这是船体底部外板的一部分，位于中心线上的一列厚钢板。它是龙骨结构的基础，主要作用是",safe,175.29,0.02,28810.48,3936.32,32922.09,32922.09,32922.12
zh_ship_3,造船术语,2,龙骨的结构形式有哪些？,"龙骨是船体结构的基座和脊梁，相当于建筑的承重地基，位于船底中心线，是连接船体骨架、保证总纵强度的关键构件。龙骨的结构形式主要分为以下几种：

1. 竖龙骨，也叫方龙骨。这是一种沿船底中心线竖直向下突出",safe,172.59,0.02,33632.66,6788.04,40593.3,40593.3,40593.32
zh_ship_3,造船术语,3,龙骨的结构形式有哪些？,"龙骨是船舶的脊梁，是船体底部的基础纵向结构，主要用于承受总纵弯曲、坐墩搁浅时的局部受力，并连接各个横向构件。龙骨的结构形式主要分为以下几种：

第一种是平板龙骨。平板龙骨就是位于船底中心线的一块加厚钢",safe,173.16,0.02,24678.29,5861.4,30712.86,30712.86,30712.89
zh_ship_4,造船术语,1,舱壁水密门和分舱设计之间有什么关系？,"舱壁水密门与分舱设计之间是相互依存与制约的关系。分舱设计的核心目的是限制船体破损进水后的蔓延，而水密门则是为了在必要时连通相邻舱室，同时不破坏分舱的防水功能。

首先解释分舱设计，通俗来说就是把船体内",safe,216.91,0.02,51734.61,5058.42,57009.94,57009.94,57009.96
zh_ship_4,造船术语,2,舱壁水密门和分舱设计之间有什么关系？,"舱壁水密门与分舱设计之间是相互依存与制约的关系。分舱设计的核心目的是限制进水范围，而水密门则是维持舱壁水密完整性的关键节点。

首先解释一下这两个概念。分舱设计，通俗来说就是把船体内部像切蛋糕一样分成",safe,214.73,0.02,22786.68,4733.89,27735.31,27735.31,27735.33
zh_ship_4,造船术语,3,舱壁水密门和分仓设计之间有什么关系？,"舱壁水密门与分舱设计之间是相互依存与制约的关系。分舱设计的核心目的是限制进水范围，而水密门则是维持这一目的的必要手段，但其存在本身又削弱了分舱的效果。

第一，分舱设计是前提。分舱设计，通俗来说就是把",safe,219.34,0.03,22584.59,4934.04,27737.98,27737.98,27738.01
zh_ship_5,造船术语,1,守柱尾柱和弦侧结构分别承担什么作用？,"您提到的守柱、尾柱和弦侧，结合造船领域语境，应为语音识别误差，其正确术语分别为首柱、尾柱和舷侧。以下为您详细解答它们的作用：

一、首柱的作用
首柱是船体最前端连接两侧舷侧和龙骨的结构，通俗来说就是船",safe,239.87,0.02,30223.63,4234.25,34697.75,34697.75,34697.78
zh_ship_5,造船术语,2,守柱尾柱和弦侧结构分别承担什么作用？,"您提到的守柱、尾柱和弦侧，在造船领域应为语音误识别，其正确术语分别为首柱、尾柱和舷侧。以下为您分别解析它们的作用：

首柱，通俗来说就是船头最前端那根连接船底和甲板的骨架，是船艏的脊梁。它的主要作用是",safe,238.73,0.02,42820.14,3951.02,47009.89,47009.89,47009.92
zh_ship_5,造船术语,3,守柱尾柱和弦侧结构分别承担什么作用？,"您好。根据造船领域的专业语境，您问题中的术语应为语音识别误差，""守柱""实为""首柱""，""尾柱""实为""尾柱""，""弦侧""实为""舷侧""。以下为您分别解答它们的作用：

首柱，通俗来说就是船头最前端的那根骨架，",safe,208.01,0.02,34669.07,6284.44,41161.52,41161.52,41161.55
zh_ship_6,造船术语,1,压载水系统为什么会影响船舶氟态和纵氢？,"您提到的“氟态”和“纵氢”，结合造船领域的语音识别误差，实际应为“浮态”和“纵倾”。

压载水系统之所以直接影响船舶浮态和纵倾，是因为它通过调节全船各压载舱的注排水，改变了船舶的排水量及重量分布。

",safe,208.1,0.02,14897.88,4113.55,19219.53,19219.54,19219.56
zh_ship_6,造船术语,2,压载水系统为什么会影响船舶氟态和纵氢？,"您提到的“氟态”和“纵氢”应为语音识别误判，在造船领域正确的专业术语是“浮态”和“纵倾”。

压载水系统通过调节全船压载水的分布，直接改变船舶的重量重心位置，从而显著影响船舶的浮态和纵倾。具体原理如下",safe,215.5,0.02,39132.53,4370.46,43718.5,43718.5,43718.53
zh_ship_6,造船术语,3,压载水系统为什么会影响船舶氟态和纵氢？,"您提到的“氟态”和“纵氢”在语音识别中应为造船领域的专业术语“浮态”和“纵倾”。

压载水系统之所以会直接影响船舶的浮态和纵倾，是因为它通过调节全船各压载舱的注排水量，直接改变了船舶的重力分布和排水量",safe,213.34,0.02,30874.82,5476.7,36564.86,36564.86,36564.88
zh_ship_7,造船术语,1,舵杆剁液和舵基在转向系统中如何配合？,"您好。根据造船领域的专业语境，您提到的“舵杆剁液”应为语音误识别，实际指的是“舵杆舵叶”，而“舵基”通常指“舵基座”或“舵承”。下面为您解答它们在转向系统中的配合关系。

舵杆舵叶与舵基座是船舶转向系",safe,229.03,0.02,25364.49,4512.14,30105.66,30105.66,30105.69
zh_ship_7,造船术语,2,舵杆剁液和舵基在转向系统中如何配合？,"您提到的“舵杆剁液”在语音识别中应为“舵杆舵叶”，即舵杆与舵叶的组合；“舵基”应为“舵基座”，即支撑舵系的基座。它们在船舶转向系统中的配合主要体现在结构支撑、传递动力和保证密封三个方面。

第一，结构",safe,223.92,0.02,38112.96,4852.86,43189.75,43189.75,43189.77
zh_ship_7,造船术语,3,舵杆剁液和舵基在转向系统中如何配合？,您提到的“舵杆剁液”应为语音识别误差，在造船领域正确的专业术语是“舵杆舵叶”。舵杆是连接舵机并传递转舵力矩的轴，舵叶是产生转向水动力的平板或流线型结构。舵基通常指舵的基座及支撑结构，如舵承和舵钮，负责,safe,210.85,0.02,26356.66,4265.61,30833.12,30833.12,30833.14
zh_ship_8,造船术语,1,总布置图、形线图和结构图分别用于什么阶段？,"总布置图、形线图和结构图是船舶设计的三大核心图纸，分别对应船舶设计的不同阶段，具体如下：

第一，形线图，主要用于初步设计阶段。形线图通俗来说就是船体的三维外形轮廓图，它用多组平行剖面线来描绘船体表面",safe,262.15,0.02,29469.94,4798.02,34530.12,34530.12,34530.14
zh_ship_8,造船术语,2,总布置图、形线图和结构图分别用于什么阶段？,"在船舶设计与建造过程中，总布置图、形线图和结构图发挥着不同的核心作用，分别侧重于总体规划、几何定义与强度保障，贯穿于从方案设计到详细设计的不同阶段。

第一，总布置图，主要用于初步设计阶段。
通俗解释",safe,230.56,0.02,18948.15,5845.72,25024.43,25024.43,25024.45
zh_ship_8,造船术语,3,总布置图、形线图和结构图分别用于什么阶段？,"这三类图纸贯穿了船舶设计与建造的全过程，分别对应不同的设计阶段和目的：

第一，形线图，属于初步设计阶段。它是船舶设计的几何基础。
通俗来说，它定义了船体“长什么样”，即船体外表面的形状。
技术细节上",safe,243.41,0.02,34399.05,4593.45,39235.92,39235.92,39235.94
zh_process_1,工艺流程,1,船体分段建造的一般流程是什么？,"船体分段建造是现代造船的核心工艺，将整船划分为若干个局部结构进行分别制造，最后再像搭积木一样合拢成整船。其一般流程如下：

第一，施工准备与零件加工。根据设计图纸，对钢材进行预处理，随后进行号料，也就",safe,219.08,0.02,25400.14,6973.49,32592.72,32592.73,32592.75
zh_process_1,工艺流程,2,船体分段建造的一般流程是什么？,"船体分段建造是现代造船模式中的核心环节，采用“分段预舾装”和“涂装一体化”的壳舾涂一体化理念。其一般流程主要包含以下六个步骤：

第一步：钢材预处理。即对钢板和型材进行表面清洁。在号料前，先对钢材进行",safe,193.02,0.02,46101.64,5669.02,51963.69,51963.69,51963.71
zh_process_1,工艺流程,3,船体分段建造的一般流程是什么？,"船体分段建造是现代造船模式中的核心环节，采用“分段预舾装”和“涂装一体化”的工艺，将船体划分为若干个部件进行并行制造。其一般流程如下：

第一，生产准备与放样。技术部门进行三维建模和套料设计，生成切割",safe,197.17,0.02,41966.1,4691.73,46855.01,46855.01,46855.03
zh_process_2,工艺流程,1,分段合拢前通常需要检查哪些项目？,"分段合拢，通俗来说就是像搭积木一样，将提前造好的船体分段拼装成整艘船舶的过程。合拢前的检查至关重要，直接关系到船舶的建造质量和后续工序的顺利推进。通常需要检查以下核心项目：

第一，尺寸与线型检查。通",safe,216.88,0.03,19947.07,5763.25,25927.2,25927.21,25927.24
zh_process_2,工艺流程,2,分段合拢前通常需要检查哪些项目？,"分段合拢前的检查主要涵盖以下关键项目：

第一是坡口与切割质量检查。需确认焊接坡口的角度、间隙及钝边符合工艺要求，保证焊接熔透质量。同时检查边缘切割面的光洁度，不得有深度超过标准的切口或缺口。

第二",safe,199.58,0.02,32855.63,4223.28,37278.49,37278.49,37278.52
zh_process_2,工艺流程,3,分段合拢前通常需要检查哪些项目？,"分段合拢，通俗来说就是将提前造好的船体零件像搭积木一样拼装成完整的船体，这是船体建造中最关键的工序之一。合拢前的检查直接关系到船舶的建造精度和结构安全，通常需要检查以下几个核心项目：

第一，装配余量",safe,196.68,0.02,26923.93,6599.29,33719.91,33719.91,33719.93
